Algorithm,Cost,Expanded Nodes,Frontier Nodes,Time elapsed,Heuristic
BFS,10,10523,4566,92.09988117218018,
DFS,18,44,47,0.04388260841369629,
greedy,12,125,255,0.08433413505554199,remaining_colors_heuristic
astar,10,268,524,0.23337650299072266,remaining_colors_heuristic
BFS,10,7219,3059,40.85272979736328,
DFS,15,39,37,0.040891170501708984,
greedy,12,55,111,0.030943632125854492,remaining_colors_heuristic
astar,10,163,275,0.11067676544189453,remaining_colors_heuristic
BFS,11,18873,8185,263.03361225128174,
DFS,18,38,53,0.11170101165771484,
greedy,12,59,104,0.04687356948852539,remaining_colors_heuristic
astar,11,1086,1385,6.171896696090698,remaining_colors_heuristic
BFS,10,4892,1152,17.899139165878296,
DFS,14,42,29,0.029920101165771484,
greedy,11,87,147,0.07280468940734863,remaining_colors_heuristic
astar,10,265,390,0.2636704444885254,remaining_colors_heuristic
BFS,10,12148,5322,109.5246171951294,
DFS,17,35,51,0.04784870147705078,
greedy,10,38,73,0.020943164825439453,remaining_colors_heuristic
astar,10,590,881,1.1019411087036133,remaining_colors_heuristic
BFS,10,10590,3470,73.5237205028534,
DFS,12,28,33,0.041951894760131836,
greedy,10,149,277,0.09618902206420898,remaining_colors_heuristic
astar,10,494,657,0.6169123649597168,remaining_colors_heuristic
BFS,10,8641,1828,39.45140027999878,
DFS,16,40,41,0.03815126419067383,
greedy,10,154,221,0.09277892112731934,remaining_colors_heuristic
astar,10,278,358,0.25950145721435547,remaining_colors_heuristic
BFS,10,7783,4454,42.44758343696594,
DFS,14,30,41,0.03164935111999512,
greedy,10,92,132,0.042885780334472656,remaining_colors_heuristic
astar,10,232,345,0.15959644317626953,remaining_colors_heuristic
BFS,10,13582,5979,141.3116135597229,
DFS,17,32,54,0.04291033744812012,
greedy,10,45,90,0.022938013076782227,remaining_colors_heuristic
astar,10,392,729,0.415452241897583,remaining_colors_heuristic
BFS,10,11155,4599,85.4786925315857,
DFS,16,40,41,0.049870967864990234,
greedy,12,69,152,0.05784273147583008,remaining_colors_heuristic
astar,10,313,458,0.3979480266571045,remaining_colors_heuristic
greedy,13,1301,906,1.8649711608886719,color_fraction_heuristic
astar,11,4870,805,9.993760585784912,color_fraction_heuristic
greedy,14,1987,1928,4.106717348098755,color_fraction_heuristic
astar,10,8792,2854,40.391987562179565,color_fraction_heuristic
greedy,11,870,1143,1.2376856803894043,color_fraction_heuristic
astar,8,2912,3114,8.8115394115448,color_fraction_heuristic
greedy,12,4472,2950,16.361539363861084,color_fraction_heuristic
astar,11,14752,2854,102.51646828651428,color_fraction_heuristic
greedy,9,903,785,1.2677390575408936,color_fraction_heuristic
astar,9,3320,804,6.496886968612671,color_fraction_heuristic
greedy,11,806,1048,1.0492238998413086,color_fraction_heuristic
astar,11,10352,2526,49.15128779411316,color_fraction_heuristic
greedy,12,1685,1958,3.429342746734619,color_fraction_heuristic
astar,11,11844,6416,102.5662899017334,color_fraction_heuristic
greedy,12,1308,1694,2.3988780975341797,color_fraction_heuristic
astar,10,12834,7911,139.24118876457214,color_fraction_heuristic
greedy,11,1392,1581,2.459219455718994,color_fraction_heuristic
astar,10,11761,5767,109.40600895881653,color_fraction_heuristic
greedy,13,3620,3733,17.01550531387329,color_fraction_heuristic
astar,10,9895,5630,72.74822521209717,color_fraction_heuristic

